"No.","Time","Source","Destination","Protocol","Length","Info"
"63","1.008128","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"64","1.010703","63.251.239.51","192.168.15.130","UDP","89","22426  >  63821 Len=47"
"65","1.010974","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"66","1.046244","63.251.239.51","192.168.15.130","UDP","89","22426  >  63821 Len=47"
"67","1.046653","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"68","1.072290","63.251.239.51","192.168.15.130","UDP","89","22426  >  63821 Len=47"
"69","1.072731","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"70","1.098498","63.251.239.51","192.168.15.130","UDP","89","22426  >  63821 Len=47"
"71","1.098867","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"72","1.148915","63.251.239.51","192.168.15.130","UDP","89","22426  >  63821 Len=47"
"73","1.149317","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"74","1.165265","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"75","1.230007","63.251.239.51","192.168.15.130","UDP","98","22426  >  63821 Len=56"
"76","1.230421","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"77","1.317704","63.251.239.51","192.168.15.130","UDP","89","22426  >  63821 Len=47"
"78","1.318117","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"79","1.332129","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"80","1.337798","63.251.239.51","192.168.15.130","UDP","97","22426  >  63821 Len=55"
"81","1.338120","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"82","1.342249","192.168.15.130","104.22.40.247","TLSv1.2","1351","Application Data"
"83","1.351578","192.168.15.130","104.22.40.247","TLSv1.2","1339","Application Data"
"84","1.396232","104.22.40.247","192.168.15.130","TCP","60","443  >  50098 [ACK] Seq=1 Ack=1298 Win=40 Len=0"
"85","1.405210","104.22.40.247","192.168.15.130","TCP","60","443  >  50099 [ACK] Seq=1 Ack=1286 Win=39 Len=0"
"86","1.531681","63.251.239.51","192.168.15.130","UDP","759","22426  >  63821 Len=717"
"87","1.533226","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"88","1.533245","63.251.239.51","192.168.15.130","UDP","708","22426  >  63821 Len=666"
"89","1.534581","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"90","1.536305","104.22.40.247","192.168.15.130","TLSv1.2","681","Application Data"
"91","1.541605","104.22.40.247","192.168.15.130","TLSv1.2","670","Application Data"
"92","1.581481","192.168.15.130","104.22.40.247","TCP","54","50099  >  443 [ACK] Seq=1286 Ack=628 Win=509 Len=0"
"93","1.596479","192.168.15.130","104.22.40.247","TCP","54","50098  >  443 [ACK] Seq=1298 Ack=617 Win=509 Len=0"
"94","1.732760","192.168.15.130","63.251.239.51","UDP","74","63821  >  22426 Len=32"
"95","1.734868","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"96","1.801965","192.168.15.130","179.184.214.195","TCP","54","[TCP Retransmission] 50046  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1020 Len=0"
"97","1.843670","63.251.239.51","192.168.15.130","UDP","75","22426  >  63821 Len=33"
"98","1.911260","63.251.239.51","192.168.15.130","UDP","205","22426  >  63821 Len=163"
"99","1.911907","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"100","2.009400","63.251.239.51","192.168.15.130","UDP","212","22426  >  63821 Len=170"
"101","2.009963","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"102","2.179525","63.251.239.51","192.168.15.130","UDP","238","22426  >  63821 Len=196"
"103","2.180258","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"104","2.396508","192.168.15.130","63.251.239.51","UDP","94","63821  >  22426 Len=52"
"105","2.563702","192.168.15.130","63.251.239.51","UDP","94","63821  >  22426 Len=52"
"106","2.663860","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"107","2.713849","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"108","2.721124","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"109","2.731174","192.168.15.130","63.251.239.51","UDP","94","63821  >  22426 Len=52"
"110","2.732750","192.168.15.130","63.251.239.51","UDP","74","63821  >  22426 Len=32"
"111","2.747151","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"112","2.811837","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"113","2.843752","63.251.239.51","192.168.15.130","UDP","75","22426  >  63821 Len=33"
"114","2.898094","192.168.15.130","63.251.239.51","UDP","94","63821  >  22426 Len=52"
"115","2.972953","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"116","3.065639","192.168.15.130","63.251.239.51","UDP","94","63821  >  22426 Len=52"
"117","3.139952","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"118","3.174038","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"119","3.182498","63.251.239.51","192.168.15.130","UDP","244","22426  >  63821 Len=202"
"120","3.183171","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"121","3.233243","192.168.15.130","63.251.239.51","UDP","94","63821  >  22426 Len=52"
"122","3.307362","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"123","3.343159","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"124","3.400570","192.168.15.130","63.251.239.51","UDP","94","63821  >  22426 Len=52"
"125","3.474053","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
